"","SSB","January 1 B","Rect","F"
"1968",625372,1335536,5251499,0.184
"1969",858196,1494340,1560568,0.17
"1970",970566,1609870,2889743,0.243
"1971",1045054,1533617,977239,0.372
"1972",1136624,1524011,1253712,0.377
"1973",816002,1300966,917174,0.527
"1974",621643,979800,1288020,0.57
"1975",511171,762171,1212786,0.629
"1976",379827,532784,221732,0.736
"1977",361494,367906,40016,0.258
"1978",381928,366297,34444,0.083
"1979",355041,402782,191039,0.098
"1980",350074,372224,50982,0.081
"1981",303567,345182,253444,0.106
"1982",309061,371650,501870,0.103
"1983",365428,512979,2064233,0.111
"1984",399833,524596,90852,0.116
"1985",592546,575493,139900,0.15
"1986",533049,591188,87114,0.161
"1987",415689,487388,115871,0.233
"1988",340366,405158,373119,0.279
"1989",328615,396281,522392,0.29
"1990",259940,319075,103844,0.425
"1991",247112,291318,173210,0.349
"1992",178828,243974,183313,0.277
"1993",159319,195979,36200,0.27
"1994",122840,164188,155259,0.342
"1995",115002,158204,181170,0.283
"1996",105346,154034,168433,0.465
"1997",101890,154490,207023,0.505
"1998",97391,130973,96599,0.494
"1999",82263,125734,171662,0.493
"2000",181434,306293,1228596,0.274
"2001",270312,307427,198527,0.262
"2002",257388,286860,155544,0.324
"2003",227491,291396,353863,0.452
"2004",172900,303886,747571,0.771
"2005",150132,232837,199753,0.721
"2006",129265,224714,376086,1.055
"2007",102727,159197,107334,1.022
"2008",66340,114134,230341,0.967
"2009",43621,103421,176316,1.658
"2010",24412,59957,27537,2.151
"2011",17317,37474,128850,1.248
"2012",17018,32782,90792,1.424
"2013",17877,30251,40653,1.27
"2014",15319,32897,87113,1.194
"2015",20266,43304,147315,1.081
"2016",30870,85363,387668,0.82
"2017",40190,71508,25474,0.638
"2018",47554,73603,145584,0.576
"2019",42862,69858,135882,0.458
