"NA","NA","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032"
"SSB (mt)","Median",43721,69870,85584,96586,109397,121447,135534,151543,163892,175493
,"5th Percentile",17764,33366,47611,56066,62547,66892,70376,75546,80678,86602
,"40th Percentile",37973,61850,77503,87819,98997,109533,121686,135695,146482,156730
,"75th Percentile",62153,95324,111266,125671,145912,164962,188779,214883,234026,249148
,"95th Percentile",100647,148466,175240,207270,258135,297009,333230,363230,382406,397140
"F","Median",0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,"5th Percentile",0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,"40th Percentile",0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,"75th Percentile",0.21,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,"95th Percentile",0.34,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"Catch (mt)","Median",5953,6864,8571,9830,11417,12710,14129,15764,17020,18197
,"5th Percentile",5953,3319,4797,5703,6456,6990,7365,7922,8472,9083
,"40th Percentile",5953,6089,7754,8910,10305,11477,12720,14170,15278,16320
,"75th Percentile",5953,9349,11372,12919,15194,17045,19347,21958,23907,25507
,"95th Percentile",5953,14883,17692,20582,25669,29578,33222,36472,38446,40118
"Recruitment (000s)","Median",91342,109337,121991,131791,133318,140866,147819,153496,156796,159622
,"5th Percentile",28584,29459,30077,30745,31333,31628,32129,32326,32196,32601
,"40th Percentile",77295,89763,97486,108509,110622,112305,115369,118524,121178,123933
,"75th Percentile",151839,188628,198244,198657,205773,211110,217654,222670,225838,226287
,"95th Percentile",294287,422117,563904,745501,841797,876679,907772,916197,931591,934477
