"NA","NA","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032"
"SSB (mt)","Median",43721,67524,77038,81551,86871,90847,95948,102150,107061,112044
,"5th Percentile",17764,32341,43184,47719,50405,51398,51804,53124,53697,54046
,"40th Percentile",37973,59789,69902,74263,78454,81688,85691,90594,94413,98293
,"75th Percentile",62153,92059,99855,105905,115839,124395,135927,148721,157790,166023
,"95th Percentile",100647,143307,156933,176672,212587,238367,258652,274184,283790,291615
"F","Median",0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
,"5th Percentile",0.07,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
,"40th Percentile",0.13,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
,"75th Percentile",0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
,"95th Percentile",0.34,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"Catch (mt)","Median",5953,12618,14671,15694,17050,17956,18973,20257,21203,22195
,"5th Percentile",5953,6127,8301,9268,9931,10242,10341,10607,10715,10777
,"40th Percentile",5953,11201,13314,14276,15341,16059,16869,17914,18699,19490
,"75th Percentile",5953,17169,19389,20710,23002,24566,26663,29085,30805,32350
,"95th Percentile",5953,27331,30242,33414,40190,44952,48688,51868,53846,55454
"Recruitment (000s)","Median",91342,107496,111252,116499,125110,128811,131592,131782,131999,132407
,"5th Percentile",28584,29362,29651,29937,30216,30256,30446,30697,30608,30847
,"40th Percentile",77295,88824,91614,93798,99153,102281,105617,108373,109253,109857
,"75th Percentile",151839,187369,195884,197617,198344,198510,198623,198649,198677,198695
,"95th Percentile",294287,405817,470921,524124,603135,637977,700614,730037,758635,772040
