Estimate,Year,est,se,CV,lo,hi
SSB,1968,714725.7781812915,1.0961174044389894,0.09196788592903567,597064.1802936123,855574.5845373701
SSB,1969,1073670.9878254842,1.0807440691559058,0.07776695100587461,922094.910917713,1250163.4879980627
SSB,1970,1122896.0045910038,1.0779367110614009,0.07515455987108019,969299.336004621,1300831.8383088505
SSB,1971,1142096.3662457305,1.0772094230591442,0.07447679735914818,987178.3704372086,1321325.657909226
SSB,1972,1155119.7503315785,1.0821809018096384,0.07910167718306674,989465.1645157727,1348507.9469766603
SSB,1973,792113.4157974558,1.085412529378067,0.08209795997150596,674563.4142625936,930147.781839325
SSB,1974,566310.2427115589,1.0904929843068838,0.08679266113831093,477875.6865202554,671110.290911256
SSB,1975,376046.6503221657,1.0914165223952976,0.08764402653085925,316797.44156315277,446376.97362947685
SSB,1976,248856.7702464926,1.0758562988081763,0.07321473267921251,215631.5183621386,287201.48412399006
SSB,1977,205270.95337048848,1.0821599359735272,0.07908221249768405,175839.92498603818,239627.97016078627
SSB,1978,191381.8154950772,1.0935492033549463,0.089607655070916,160612.35310923235,228045.9665346026
SSB,1979,169457.4426507735,1.1033346660763692,0.09857532284097441,139751.32989068652,205478.00791736078
SSB,1980,165134.49096620642,1.1112914426013105,0.10581723413296168,134281.63518692672,203076.16949039788
SSB,1981,144117.13491590618,1.1234869039620001,0.11683292550420007,114710.75354383432,181061.91385477016
SSB,1982,150868.55014847495,1.1227784343529652,0.11619571833836233,120233.13352769792,189309.87454185757
SSB,1983,205263.66009683005,1.0904944401551804,0.0867940037082955,173209.3972930338,243249.9091551397
SSB,1984,420521.6455891836,1.0642332194550856,0.06231492575731675,372217.8354816483,475093.98409188737
SSB,1985,469837.8849431174,1.0645249281654316,0.06258979166365282,415645.96858178906,531095.3427048197
SSB,1986,434346.50262480555,1.0684019841684744,0.06623653679124464,381520.0615122919,494487.4552457107
SSB,1987,348029.90525028884,1.073729216886595,0.07122793334702243,302735.90031948994,400100.5986428993
SSB,1988,281701.8715937853,1.0791697919207057,0.07630274619019135,242624.66859340254,327072.8608080182
SSB,1989,277348.5583217297,1.0761835553179797,0.07352009560366532,240176.11313520835,320274.242925391
SSB,1990,226015.661520538,1.0729699795537937,0.07051791731938813,196873.83285609103,259471.14713770332
SSB,1991,219705.1452170596,1.0739270655507012,0.07141288180841258,191042.8371675129,252667.68202633082
SSB,1992,168581.26000750242,1.0771489949749609,0.074420465907597,145730.32318140348,195015.28992247334
SSB,1993,143734.95115307986,1.0833235568174437,0.08016201609453957,122867.66108737864,168146.24776071767
SSB,1994,115753.50258374902,1.0888041256105088,0.085234158870116275,97974.70098197412,136758.50220631124
SSB,1995,109446.60015649014,1.0923042364413709,0.08846177767900859,92055.58978657873,130123.09533387017
SSB,1996,99940.37069566906,1.0935683411377326,0.08962526081419936,83869.55416687387,119090.6258415853
SSB,1997,99221.65851195379,1.0940779528158937,0.090093978395086885,83190.414101741,118342.2107482542
SSB,1998,85595.41795543663,1.107315102072905,0.10220365299440279,70093.94672333453,104525.08265634353
SSB,1999,82072.89119380922,1.1209487467526997,0.11454853304861883,65616.55679631744,102656.39950935198
SSB,2000,147229.65334417907,1.0866655258716784,0.08325759950967783,125097.50449822171,173277.4039801511
SSB,2001,242163.98229039594,1.0813245366320676,0.07830635683337536,207757.59031461546,282268.36011111416
SSB,2002,238726.19828598108,1.0879363825905293,0.08443257354009213,202375.78160255117,281605.8191192139
SSB,2003,214149.63520016475,1.0970562135230137,0.09282947999951632,178595.36348116907,256781.95313955666
SSB,2004,176408.9063537212,1.0958088271096118,0.09168454949346186,147448.96941063702,211056.76333517296
SSB,2005,163834.26383901067,1.097678927715569,0.09340062706483233,136481.74001781608,196668.5507099096
SSB,2006,113993.44132228359,1.0993814839932714,0.09496077336445695,94673.93904798239,137255.35025970632
SSB,2007,95516.84192977351,1.10139742597082,0.09680541461300061,79044.40114854973,115422.05342401702
SSB,2008,60586.87110471748,1.1222345722359006,0.11570633591548037,48329.954565442924,75952.25328194986
SSB,2009,43642.68198629246,1.1138116299593182,0.1081018702870731,35331.50122236096,53908.93749375136
SSB,2010,27159.44290064595,1.1044601368745919,0.09960236257351959,22353.64358759307,32998.438745925836
SSB,2011,17512.33838131522,1.1104210940294443,0.10502722097030695,14262.310273662402,21502.96759060296
SSB,2012,18487.965955261414,1.1011611927335871,0.09658940443900464,15306.041300669422,22331.370891306553
SSB,2013,17911.738451063626,1.1116244217016484,0.10611934061920474,14556.653976754962,22040.118206535273
SSB,2014,15058.99038057393,1.1251201867272163,0.11830065997123923,11952.199206836707,18973.344349256073
SSB,2015,16468.91822708462,1.1225652736281058,0.11600393368405137,13129.619465443102,20657.511688305938
