Estimate,Year,est,se,CV,lo,hi
SSB,1968,1089812.678164264,1.054087786647992,0.05271229709953074,982910.9841397244,1208341.0325575636
SSB,1969,1716068.8120809009,1.0549847032660402,0.05356462945260094,1545158.5770022154,1905883.4553474651
SSB,1970,1948755.462621947,1.0571385027905404,0.05560865026835823,1747671.115861635,2172976.2646026034
SSB,1971,2284247.5480346857,1.060282498216212,0.05858555745058615,2036656.3766686255,2561937.752718624
SSB,1972,2790700.725234137,1.0655119900586814,0.06351935636013782,2464335.930306179,3160287.7034928934
SSB,1973,2574653.457440421,1.072210034117836,0.06980678897609421,2245801.3217814425,2951659.3305109027
SSB,1974,2582355.021256273,1.0823706553567054,0.07927782928727359,2211262.0285352324,3015724.672043874
SSB,1975,1122139.7819618161,1.0616268250753178,0.059855980538284496,998028.6360927676,1261684.9303953927
SSB,1976,640800.167725839,1.0534422432334845,0.05209842917270925,578637.2671338881,709641.217876226
SSB,1977,780892.8298225636,1.0573395999881037,0.05579930248661686,700054.5639935343,871065.8326254742
SSB,1978,860975.9279861769,1.0597013042175354,0.05803585951448878,768479.5540242041,964605.4272880644
SSB,1979,848178.9965349893,1.0616204080149574,0.05984991973473977,754377.4576307553,953644.0980388224
SSB,1980,888213.6600204572,1.063574067085382,0.06169358011852542,787143.0091023274,1002261.9736490316
SSB,1981,844965.6811194625,1.0654551535108137,0.06346585174676944,746227.277331781,956768.8343188766
SSB,1982,867831.0842003616,1.0675635875922949,0.06544895775445334,763456.8032742777,986474.6603532553
SSB,1983,1064372.1104453737,1.068579293670333,0.06640302772790853,934616.1582641258,1212142.5244755726
SSB,1984,1943548.2651720135,1.0693456829116557,0.06712236967048396,1704216.880557216,2216490.108828214
SSB,1985,2259916.462766083,1.071145599113258,0.06880997145063106,1975105.8966332108,2585796.755195251
SSB,1986,2300400.7529432597,1.0732733338184384,0.07080165900246985,2002683.6044795082,2642376.2656793967
SSB,1987,2139038.4985486236,1.075410783620561,0.07279888966256215,1854957.3974993136,2466625.7588672424
SSB,1988,2079110.9239387456,1.0774311466407311,0.07468346547286926,1796368.1886550037,2406356.481561815
SSB,1989,963502.387976326,1.0578705271131008,0.056302493682131916,862910.8720291584,1075820.0895685474
SSB,1990,402825.6360373094,1.0498027431840076,0.048630998874626255,366223.9675254484,443085.3997495045
SSB,1991,410947.7245500938,1.0525168904832558,0.051217876356710004,371722.1116820068,454312.58191433095
SSB,1992,340515.2780002761,1.055069844785085,0.05364550407222573,306553.4923750316,378239.5485149246
SSB,1993,307779.3669852207,1.0611159303890485,0.05937334483657128,273996.66336284287,345727.3441917008
SSB,1994,278327.6958225204,1.06679889803516,0.06473013155684651,245197.2647417325,315934.6265280288
SSB,1995,292014.9141180903,1.0706434237739548,0.06833938804162269,255447.81195837853,333816.5608609307
SSB,1996,292108.60261098365,1.0783103467966477,0.07550259464969622,251980.96362788693,338626.5156337322
SSB,1997,239593.70387833647,1.0608972877369873,0.05916673122902825,213381.41037069022,269025.9795284635
SSB,1998,185255.28094325564,1.0641144689599613,0.062203012167723316,164011.53984541362,209250.6365693041
SSB,1999,186110.61531015616,1.0723066724379453,0.06989724451101394,162310.63636004427,213400.43947761582
SSB,2000,206905.21299502917,1.0788526735960786,0.07600757180181539,178306.35470737686,240091.0906107334
SSB,2001,210860.19117823514,1.0685083627141547,0.06633642762044797,185178.6434722945,240103.3909203145
SSB,2002,180526.8716336765,1.0614063910775529,0.05964776529670286,160625.56181682687,202893.92929256574
SSB,2003,176486.83885988157,1.0640326582967572,0.062125905058437056,156272.14651463163,199316.4168116004
SSB,2004,137502.56473752583,1.0654468029229371,0.06345799047861474,121436.57786740386,155694.07209450446
SSB,2005,89547.7744916176,1.063472277834337,0.061597598010529137,79372.93865416292,101026.92494907434
SSB,2006,51376.627077546116,1.0668874089395912,0.06481335768863081,45253.7075397326,58327.9901994267
SSB,2007,31883.95623171271,1.065218166819386,0.06324273010635076,28170.438420428316,36087.001906529615
SSB,2008,11768.910764735332,1.064587818060487,0.06264904144932071,10410.258745721396,13304.881652939655
SSB,2009,7960.469557947407,1.0643924818513477,0.062465001055344076,7044.0128124692255,8996.161317428643
SSB,2010,10246.725768625356,1.0648605497739527,0.06290595057676954,9059.251782534137,11589.852175191518
SSB,2011,12710.888327426188,1.069591409514996,0.06735291334637042,11140.63278468487,14502.469042369523
SSB,2012,14505.399979736329,1.0727370128920817,0.07029996380164202,12640.49283291006,16645.44502761254
SSB,2013,11944.350239492771,1.066337192411965,0.0642958921172207,10531.499277769093,13546.741910226152
SSB,2014,10935.489459939437,1.069042967785937,0.06683829315326535,9594.199722650117,12464.294384671688
SSB,2015,15440.625920322444,1.0697339779055994,0.06748665090733334,13529.614003538993,17621.561764361548
SSB,2016,24582.513042222192,1.0714413561645726,0.06908702978707995,21472.829847703695,28142.53881565815
SSB,2017,31295.88464517477,1.0766928101741444,0.07399511682443942,27076.244970514552,36173.12506925044
SSB,2018,27906.02081734907,1.0782913878430587,0.07548493731169809,24073.33531869338,32348.903363366077
SSB,2019,17559.617677254057,1.085726994164467,0.08238910517161488,14945.274506684123,20631.282003781937
SSB,2020,11203.640235598887,1.0983358841416164,0.09400287868937746,9322.22719223288,13464.76029175868
SSB,2021,3454.246594090884,1.1105559438776036,0.10514965797750436,2812.520613101037,4242.393629831091
SSB,2022,1960.9747938485032,1.2795803954110412,0.2503260165734457,1209.5488568395508,3179.220186406479
Rect,1968,7719519.953643956,1.053839582153391,0.05247631248917007,6965512.587541363,8555147.602675023
Rect,1969,2463906.1140611726,1.0647067155854852,0.06276104844030414,2178985.5435243384,2786082.4303996675
Rect,1970,6201909.822347836,1.060484378805488,0.058776433396728764,5527617.530210999,6958456.375520311
Rect,1971,1896480.2160984129,1.0736928790876965,0.07119396155002854,1649774.1179504157,2180078.5761634675
Rect,1972,4276614.069237498,1.0720968213398687,0.06970081010766097,3731148.1435055826,4901823.02973807
Rect,1973,2469840.85705578,1.0760580207345611,0.07340296910479241,2139302.342761773,2851450.090643556
